SKU,Vendor,Description,Title,Price,Type,Image_Src,Quantity
21424,Redken,"Спрей ультра-сильной фиксации с тройным распылителем, 300 мл",Redken Triple Take 32,1192,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-triple-take-32---sprej-ultra-silnoj-fiksatsii-s-trojnym-raspylitelem-300-mlE1630700.150x150.jpg,10
21425,Redken,"Кондиционер для питания и контроля завитка, 1000 мл",Redken Curvaceous Conditioner,3682,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-conditioner---konditsioner-dlya-pitaniya-i-kontrolya-zavitka-1000-mlP1129100.150x150.jpg,2
21426,Redken,"Шампунь с высокой степенью пенности, 1000 мл",Redken Curvaceous High Foam Shampoo,2660,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-high-foam-shampoo---shampun-s-vysokoj-stepenyu-pennosti-1000-mlP1127000.150x150.jpg,17
21427,Redken,"Шампунь с низкой степенью пенности, 500 мл",Redken Curvaceous No Foam,1863,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-no-foam---shampun-s-nizkoj-stepenyu-pennosti-500-mlP1127400.150x150.jpg,13
21428,Redken,"Крем-гель для формирования завитка, 150 мл",Redken Curvaceous Full Swirl,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-full-swirl---krem-gel-dlya-formirovaniya-zavitka-150-mlP1130900.150x150.jpg,8
21429,Redken,"Увлажняющий крем для очерченности завитка, 250 мл",Redken Curvaceous Curl Refiner,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-curl-refiner---uvlazhnyayuschij-krem-dlya-ocherchennosti-zavitka-250-mlP1131200.150x150.jpg,8
21430,Redken,"Гель-спрей для упругости и защиты от влажности, 250 мл",Redken Curvaceous Spray,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-spray---gel-sprej-dlya-uprugosti-i-zaschity-ot-vlazhnosti-250-mlP1129400.150x150.jpg,14
21431,Redken,"Кондиционер для питания и контроля завитка, 250 мл",Redken Curvaceous Conditioner,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-conditioner---konditsioner-dlya-pitaniya-i-kontrolya-zavitka-250-mlP1128900.150x150.jpg,12
21432,Redken,"Шампунь с высокой степенью пенности, 300 мл",Redken Curvaceous High Foam Shampoo,1311,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-high-foam-shampoo---shampun-s-vysokoj-stepenyu-pennosti-300-mlP1126800.150x150.jpg,6
21433,Redken,Пудра для осветления волос до 6 тонов 450 гр,Redken Free Hand Blond Idol,2236,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-free-hand-blond-idol---pudra-dlya-osvetleniya-volos-do-6-tonov-450-gr2.150x150.jpg,4
