SKU,Handle,Description,Title,Price,Vendor,Type,Image_Src,Quantity
15000,redken-triple-take-32,"Спрей ультра-сильной фиксации с тройным распылителем, 300 мл",Redken Triple Take 32,1192,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-triple-take-32---sprej-ultra-silnoj-fiksatsii-s-trojnym-raspylitelem-300-mlE1630700.150x150.jpg,5
15001,redken-curvaceous-conditioner,"Кондиционер для питания и контроля завитка, 1000 мл",Redken Curvaceous Conditioner,3682,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-conditioner---konditsioner-dlya-pitaniya-i-kontrolya-zavitka-1000-mlP1129100.150x150.jpg,6
15002,redken-curvaceous-high-foam-shampoo,"Шампунь с высокой степенью пенности, 1000 мл",Redken Curvaceous High Foam Shampoo,2660,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-high-foam-shampoo---shampun-s-vysokoj-stepenyu-pennosti-1000-mlP1127000.150x150.jpg,5
15003,redken-curvaceous-no-foam,"Шампунь с низкой степенью пенности, 500 мл",Redken Curvaceous No Foam,1863,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-no-foam---shampun-s-nizkoj-stepenyu-pennosti-500-mlP1127400.150x150.jpg,11
15004,redken-curvaceous-full-swirl,"Крем-гель для формирования завитка, 150 мл",Redken Curvaceous Full Swirl,1640,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-full-swirl---krem-gel-dlya-formirovaniya-zavitka-150-mlP1130900.150x150.jpg,13
15005,redken-curvaceous-curl-refiner,"Увлажняющий крем для очерченности завитка, 250 мл",Redken Curvaceous Curl Refiner,1640,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-curl-refiner---uvlazhnyayuschij-krem-dlya-ocherchennosti-zavitka-250-mlP1131200.150x150.jpg,7
15006,redken-curvaceous-spray,"Гель-спрей для упругости и защиты от влажности, 250 мл",Redken Curvaceous Spray,1640,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-spray---gel-sprej-dlya-uprugosti-i-zaschity-ot-vlazhnosti-250-mlP1129400.150x150.jpg,3
15007,redken-curvaceous-conditioner-2,"Кондиционер для питания и контроля завитка, 250 мл",Redken Curvaceous Conditioner,1640,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-conditioner---konditsioner-dlya-pitaniya-i-kontrolya-zavitka-250-mlP1128900.150x150.jpg,18
15008,redken-curvaceous-high-foam-shampoo-2,"Шампунь с высокой степенью пенности, 300 мл",Redken Curvaceous High Foam Shampoo,1311,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-curvaceous-high-foam-shampoo---shampun-s-vysokoj-stepenyu-pennosti-300-mlP1126800.150x150.jpg,12
15009,redken-free-hand-blond-idol,Пудра для осветления волос до 6 тонов 450 гр,Redken Free Hand Blond Idol,2236,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-free-hand-blond-idol---pudra-dlya-osvetleniya-volos-do-6-tonov-450-gr2.150x150.jpg,4
15010,redken-blonde-idol-high-lift-pv,"Крем-краска, перламутровый фиолетовый, 60 мл",Redken Blonde Idol High Lift PV,1130,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-pv---krem-kraska-perlamutrovyj-fioletovyj-60-mlRedken-Blonde-Idol-High-Lift.150x150.jpg,17
15011,redken-blonde-idol-high-lift-mp,"Крем-краска, мокка перламутровый, 60 мл",Redken Blonde Idol High Lift MP,1130,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-mp---krem-kraska-mokka-perlamutrovyj-60-mlRedken-Blonde-Idol-High-Lift.150x150.jpg,2
15012,redken-blonde-idol-high-lift-ba,"Крем-краска, синий пепельный, 60 мл",Redken Blonde Idol High Lift BA,1130,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-ba---krem-kraska-sinij-pepelnyj-60-mlRedken-Blonde-Idol-High-Lift.150x150.jpg,8
15013,redken-blonde-idol-high-lift-ap,"Крем-краска, пепельный перламутр, 60 мл",Redken Blonde Idol High Lift AP,1130,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-ap---krem-kraska-pepelnyj-perlamutr-60-mlRedken-Blonde-Idol-High-Lift.150x150.jpg,19
15014,redken-beach-envy-volume-texturizing-conditioner,"Кондиционер для объема и текстуры по длине, 1000 мл",Redken Beach Envy Volume Texturizing Conditioner,3682,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-beach-envy-volume-texturizing-conditioner---konditsioner-dlya-obema-i-tekstury-po-dline-1000-mlP1222100.150x150.jpg,18
15015,redken-volume-texturizing-shampoo,"Шампунь для объема и текстуры по длине, 1000 мл",Redken Volume Texturizing Shampoo,2660,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-volume-texturizing-shampoo---shampun-dlya-obema-i-tekstury-po-dline-1000-mlP1221700.150x150.jpg,17
15016,redken-beach-envy-volume-texturizing-conditioner-2,"Кондиционер для объема и текстуры по длине, 250 мл",Redken Beach Envy Volume Texturizing Conditioner,1640,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-beach-envy-volume-texturizing-conditioner---konditsioner-dlya-obema-i-tekstury-po-dline-250-mlP1222100.150x150.jpg,9
15017,redken-volume-texturizing-shampoo-2,"Шампунь для объема и текстуры по длине, 300 мл",Redken Volume Texturizing Shampoo,1311,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-volume-texturizing-shampoo---shampun-dlya-obema-i-tekstury-po-dline-300-mlP1221600.150x150.jpg,19
15018,redken-high-rise-lifting-conditioner,"Кондиционер для объема у корней, 1000 мл",Redken High Rise Lifting Conditioner,3682,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-lifting-conditioner---konditsioner-dlya-obema-u-kornej-1000-mlP1223400.150x150.jpg,13
15019,redken-high-rise-volume,"Шампунь для объема у корней, 1000 мл",Redken High Rise Volume,2660,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-volume---shampun-dlya-obema-u-kornej-1000-mlP1222900.150x150.jpg,7
15020,redken-high-rise-lifting-conditioner-2,"Кондиционер для объема у корней, 250 мл",Redken High Rise Lifting Conditioner,1640,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-lifting-conditioner---konditsioner-dlya-obema-u-kornej-250-mlP1223400.150x150.jpg,16
15021,redken-high-rise-volume-2,"Шампунь для объема у корней, 300 мл",Redken High Rise Volume,1311,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-volume---shampun-dlya-obema-u-kornej-300-mlP1222900.150x150.jpg,6
15022,redken-hair-cleansing-cream-shampoo,"Шампунь очищающий, 1000 мл",Redken Hair Cleansing Cream Shampoo,2660,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-hair-cleansing-cream-shampoo---shampun-ochischayuschij-1000-mlRedken-Hair-Cleansing-Cream-Shampoo.150x150.jpg,17
15023,redken-blonde-idol-blue-oil-lightening-systems,"Набор масляная система осветления 4*12.5 г, 60 мл",Redken Blonde Idol Blue Oil Lightening Systems,2460,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-blue-oil-lightening-systems---nabor-maslyanaya-sistema-osvetleniya-4125-g-60-mlP1125700.150x150.jpg,6
15024,redken-blonde-idol-base-breaker-cool,"Брейкер, Гелевый краситель, Нейтральный, 150 мл",Redken Blonde Idol Base Breaker Cool,969,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-base-breaker-cool---brejker-gelevyj-krasitel-nejtralnyj-150-mlRedken-Blonde-Idol-Base-Breaker-Clear.150x150.jpg,11
15025,redken-blonde-idol-base-breaker-cool-2,"Брейкер, Гелевый краситель, Холодный, 150 мл",Redken Blonde Idol Base Breaker Cool,969,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-base-breaker-cool---brejker-gelevyj-krasitel-holodnyj-150-mlP1046300.150x150.jpg,9
15026,redken-blonde-idol-high-lift-v-conditioning-cream-haircolor-violet,"Крем-краска, фиолетовый, 60 мл",Redken Blonde Idol High Lift V conditioning cream haircolor Violet,1130,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-v-conditioning-cream-haircolor-violet---krem-kraska-fioletovyj-60-mlP1045000.150x150.jpg,10
